B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
1514.5,869,605,893,865.5,1252.5,1949,2221.5,2330.5,2370.5,742.33746,-17.03534428,-16.69039431,-9.30110564,-9.258760237,15.034058
2417.5,1165,384.5,667,406,1084,3219,3990.5,4093,4263.5,696.02155,-17.10551055,-14.37151653,-11.0166461,-8.093282055,26.3735965
1009.5,660.5,694,948.5,576.5,735,1061.5,1205.5,1203,1258,510.13565,-20.70500203,-23.14991873,-14.60853477,-16.5775807,9.452942
2338.5,1337.5,400.5,770.5,560,1244.5,3044,3532.5,3610.5,3762.5,1700.4231,-18.02566407,-8.791503212,-11.65528703,-1.442451918,11.199951
1913,880,360,563,321,872,2916,3445,3537,3669,633.5916,-12.35461063,-13.98421084,-5.752892624,-7.600211719,10.369507
2398,1087,362.5,679.5,407.5,1115,3544.5,4300,4343.5,4571.5,1265.2402,-17.75629256,-12.87540432,-11.3808839,-6.335219279,10.924561
2187,1236,510.5,811.5,695.5,1189,2670.5,3258.5,3292,3427.5,418.56577,-16.11808468,-14.19439562,-9.318033471,-7.406702266,16.316711
3122,2209,847,1179,1464,1766,2716,2978,3082,3200,2347.9766,-18.49733891,-14.77134627,-12.14523877,-7.227240547,9.4609375
2527,1638,600,936,876,1462,2865,3273,3361,3509,2341.0308,-16.44108055,-15.85180649,-9.758948534,-8.858179166,9.499206575
2457,1417,504,845,676,1344,3041,3549,3658,3804,2318.2373,-13.34425484,-16.32424726,-6.649714051,-9.868446501,12.2125245
1966,1071,414,647,386,983,2751,3381,3476,3635,452.8193,-15.62667638,-12.52198958,-9.22777106,-5.89362808,24.48938
2460,1216,415,713,458,1187,3278,3859,3978,4131,2210.558,-15.8481259,-10.78581765,-9.414067752,-3.287893229,11.993286
2344,1183,360,680,411,1142,3026,3629,3721,3875,2198.9092,-14.76880683,-14.04814416,-8.415797467,-7.271593513,6.54089355
2068,1379,436,702,628,1132,2159.5,2416,2514.5,2585,2378.3367,-18.22457675,-13.30149641,-12.04570622,-5.937385848,6.9143066
2185.5,1065,341,608,402.5,990,2958.5,3745,3839,4018,550.1152,-14.72430242,-15.55376385,-8.157449647,-8.901314178,25.114822
2235,1019,381,596,374,990,3075,3776,3901,4010,2195.2698,-13.29947721,-16.06870809,-7.357309164,-9.586604573,18.52058933
2263,1110,366,636,412,1103,3051,3601,3734,3852,2157.2322,-13.39899241,-16.62808936,-6.936202976,-10.34662623,19.3706665
1855,889.5,400,637.5,364.5,894.5,2682.5,3304.5,3371.5,3525.5,287.3812,-14.48804702,-14.13321158,-8.201103582,-7.478401216,29.605621
1930,890,389,613,344,874,2665,3172,3229,3440,273.61316,-14.49715715,-13.30086502,-7.993392029,-6.393099672,28.14215
1812.5,856,384.5,610.5,352.5,856.5,2552,3185.5,3260.5,3420,223.43881,-14.51405854,-14.60526663,-8.09722457,-7.751821198,21.69083667
1849.5,863.5,378,619.5,353.5,876,2678,3334,3413.5,3573,201.61145,-13.83746369,-14.52963116,-7.136698401,-7.564943245,24.277945
1926,933,437,679,403,913,2682,3350,3412,3534,185.94707,-13.96895751,-14.41141508,-7.510499282,-7.751301259,17.69564075
1934,948.5,390,623.5,374,908.5,2697,3265.5,3365,3490,239.87091,-13.26317809,-14.53957217,-6.367629344,-7.951556923,21.913406
2103,1304,608,899,791,1286,2489,2899,2906,3161,161.41315,-14.17385019,-15.75481061,-7.136248358,-8.622316511,6.921219
2193,1490,646,910,843,1288,2423,2820,2819,3059,145.02425,-14.31182974,-15.80402694,-7.618857084,-8.339854369,18.1783445
1960.5,1284.5,584.5,865.5,721,1203,2284.5,2699.5,2751,2865,86.07546,-15.50742121,-16.2434143,-8.610405016,-8.968681606,14.874947
1833,913,426,671,427,914,2647,3193,3283,3376,137.53401,-13.96227579,-14.61894665,-7.526777648,-7.949847735,4.67695615
1889,924,370,613.5,362.5,924.5,2743,3294,3401.5,3504,230.18062,-14.91884012,-11.54186711,-6.162698035,-4.749696072,19.481583
1980,1033,407,647.5,470,991.5,2620.5,3324,3420.5,3544.5,225.00046,-15.30435835,-14.31520264,-9.056809981,-7.326463294,24.537216
1894.5,924,379,621.5,370,907,2649,3217,3296.5,3421.5,252.80284,-15.16167039,-13.03100891,-8.799452777,-6.549449354,19.7509765
2183,1500,691,963,892,1370,2697,3094,3082,3316,121.79474,-15.36827089,-15.36307009,-7.885005464,-7.123037895,6.5164643
1927.5,1015.5,523,789,683,1179,2398.5,2862.5,2929.5,3076.5,195.83493,-15.51511419,-14.83691078,-9.023799608,-8.336770771,11.8954621
2093,1136,482,736.5,532,1060,2695.5,3206,3266.5,3406,198.848,-14.46870315,-13.34170039,-8.061795999,-6.922927339,21.4630815
1974,1234,735,998,977,1401,2776,3168,3164,3379,113.51159,-17.23330579,-17.74902045,-8.952924791,-10.00464969,4.38536455
1985,997,374.5,586.5,421,924.5,2642,3341.5,3442,3604,226.29738,-15.81777054,-13.07853556,-9.667555146,-5.945134182,18.448608
2033,1210,644,899.5,805,1335,2515,2843.5,2824,3130,143.5847,-16.21497609,-15.44182964,-9.297723085,-8.184310161,16.895584
2113.5,1318,537.5,816.5,658,1212,2641.5,3091,3214,3322.5,69.3752,-15.34826206,-15.3390966,-4.49197747,-8.011803207,10.036491
2145.5,1136.5,434.5,688,527.5,1084,2918,3677,3751,3902,356.2493,-15.22910935,-15.0978582,-8.488273739,-8.653019614,19.120697
2540,1606,649,1030,965,1546.5,2655,3049.5,3133,3247.5,381.72333,-16.25553205,-16.46262803,-9.744221404,-9.603238856,3.556488
2186.5,1408.5,575,855.5,755.5,1265.5,2487,2981.5,3094.5,3191.5,55.294094,-15.68849538,-15.75731187,-8.705039754,-7.584745463,6.1245995
2273,1545,877,1104,1126,1550,2660,2992,2939,3216,51.82729,-13.41736633,-15.40583714,-7.240440045,-8.098392386,6.9340324
2165,1406.5,554,815.5,747.5,1247,2374,2818.5,2944.5,3042,41.020454,-15.98728311,-16.10173499,-8.740511849,-9.118214133,7.306053
2006,1086,661,936,782,1274,2464,2850,2833,3101,56.952557,-15.01044118,-16.28866733,-7.580003357,-8.869784706,8.660896
2207.5,1430,581.5,869,765,1275.5,2398,2858,2973,3061.5,37.78393,-15.86631146,-15.7835256,-8.497609516,-8.634045988,7.0318336
2187,1476,682,970.5,896,1380,2417,2804,2842,2987,17.352541,-16.50744592,-15.93311198,-9.109923587,-7.71832197,10.454616
2569.5,1212,352,742.5,366.5,1279.5,3835,4485.5,4530,4733.5,1527.6824,-11.3154225,-16.75219214,-4.763969443,-10.82622398,7.7323
1924.5,897.5,366,563,347,867.5,2827.5,3586,3666,3881.5,277.1649,-13.68071873,-15.31262716,-7.311947551,-9.069108718,17.625214
2681.5,1969.5,678.5,1041.5,1022,1585.5,2589,2921,2958,3156,1387.6241,-15.55300812,-11.65843183,-10.44764626,-4.053835609,14.890137
2419,1138.5,349.5,734,358,1237,3731.5,4451.5,4481.5,4732.5,1469.9408,-12.96628174,-16.49134202,-6.131691405,-10.23773381,9.16394
